                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5955,                  4.442,                 1.1106,                0.00275,                 0.1931,                0.00397,                0.00204,                 1.3672,                 4.2573,                0.95261,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.285,                 3.7212,                0.97184,                0.01476,                0.75792,                0.18168,                0.11678,                 1.1973,                 4.1336,                0.89737,             0.00016944,             0.00016944,             0.00016944
                      3,                 1.1429,                  2.488,                0.94656,                0.02065,                0.82768,                0.25149,                0.16557,                 1.2859,                 4.0531,                0.90554,             0.00025828,             0.00025828,             0.00025828
                      4,                 1.0449,                 1.7705,                0.92615,                0.02691,                0.85733,                0.36726,                0.24497,                 1.2282,                 3.9438,                0.89159,             0.00034654,             0.00034654,             0.00034654
                      5,                0.96906,                 1.4692,                0.90856,                0.03429,                0.79149,                0.33469,                0.21227,                 1.2298,                 3.8824,                0.89872,             0.00043419,             0.00043419,             0.00043419
                      6,                0.95194,                 1.2906,                0.90846,                0.04719,                0.76809,                0.43108,                0.29869,                 1.2276,                 3.7024,                0.91383,             0.00052125,             0.00052125,             0.00052125
                      7,                0.87892,                  1.172,                 0.8978,                0.07733,                0.84689,                0.61963,                0.41232,                 1.2374,                 3.5267,                0.94002,             0.00060772,             0.00060772,             0.00060772
                      8,                0.94557,                 1.1568,                 0.9049,                0.02275,                0.79198,                0.58624,                0.38333,                 1.2698,                  3.382,                0.96181,              0.0006936,              0.0006936,              0.0006936
                      9,                0.89196,                 1.0993,                0.89836,                0.02641,                0.73013,                0.52367,                0.34193,                 1.2927,                 3.2685,                0.99798,             0.00077888,             0.00077888,             0.00077888
                     10,                0.90508,                 1.0978,                 0.9028,                0.96322,                0.14802,                0.78839,                0.51629,                 1.2624,                 2.5313,                0.99219,             0.00086357,             0.00086357,             0.00086357
                     11,                0.89185,                 1.0686,                0.89564,                0.95679,                 0.3529,                0.84585,                0.56577,                 1.3016,                 2.2313,                 1.0152,             0.00094766,             0.00094766,             0.00094766
                     12,                0.85919,                 1.0168,                0.90047,                 0.9667,                0.50807,                0.87101,                0.53914,                 1.4678,                 1.9714,                 1.0541,              0.0009637,              0.0009637,              0.0009637
                     13,                0.86287,                 1.0048,                0.89918,                0.93501,                0.67802,                0.87069,                0.56652,                 1.3449,                 1.6612,                 1.0286,              0.0009604,              0.0009604,              0.0009604
                     14,                0.86388,                 0.9409,                 0.8931,                0.86871,                0.81443,                0.87751,                 0.5859,                 1.2898,                 1.3497,                  1.001,              0.0009571,              0.0009571,              0.0009571
                     15,                0.85666,                0.93098,                0.89623,                0.93254,                 0.9084,                0.94632,                0.63434,                 1.2848,                 1.1176,                 1.0177,              0.0009538,              0.0009538,              0.0009538
