                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8622,                     27,                 4.8829,                      0,                      0,                      0,                      0,                 4.0036,                 20.556,                  4.115,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.1041,                 20.933,                 3.7579,                      0,                      0,                      0,                      0,                 3.4576,                  20.51,                 3.8062,             0.00040594,             0.00040594,             0.00040594
                      3,                 2.5043,                 13.882,                 2.9045,                      0,                      0,                      0,                      0,                 2.3827,                 19.873,                 3.1839,             0.00060772,             0.00060772,             0.00060772
                      4,                 2.1288,                 9.9765,                 2.4314,                0.75422,                0.51534,                0.63744,                 0.3664,                 1.8837,                  15.52,                 2.4581,             0.00080535,             0.00080535,             0.00080535
                      5,                 1.8798,                 8.6689,                 2.2463,                0.25956,                0.91213,                0.75516,                0.36208,                 1.9017,                 12.027,                 2.3543,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.7043,                 7.7565,                 2.0667,                 0.8576,                0.66377,                 0.8044,                0.40578,                 1.8163,                 7.7681,                  2.239,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6511,                 6.9293,                 1.9791,                0.83378,                0.77329,                0.84134,                0.42837,                 1.7784,                 5.7847,                 2.1393,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6043,                 6.5498,                 1.9416,                0.84992,                0.82011,                0.88262,                0.46126,                 1.7107,                 4.5521,                 2.0084,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.4682,                 6.1788,                  1.799,                 0.8713,                0.84609,                0.90381,                0.49919,                 1.6096,                 4.3511,                 1.9375,              0.0009208,              0.0009208,              0.0009208
                     10,                  1.393,                  5.903,                 1.7424,                 0.8885,                0.87259,                0.91979,                0.51543,                 1.5449,                 4.1034,                 1.8905,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.3721,                 5.5999,                 1.7089,                0.90646,                0.87824,                0.93123,                0.54794,                 1.5158,                 3.8637,                 1.8214,               0.000901,               0.000901,               0.000901
                     12,                  1.329,                 5.4438,                 1.6581,                0.92495,                0.90371,                0.94871,                0.52182,                 1.6201,                  3.669,                 1.8465,              0.0008911,              0.0008911,              0.0008911
