                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6173,                 4.4764,                  1.109,                0.00522,                0.28024,                 0.0098,                0.00433,                 1.3957,                 4.2481,                0.94987,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.2791,                 3.6802,                0.96111,                 0.0149,                 0.7688,                0.15694,                0.08536,                 1.2848,                 4.1669,                0.91075,             0.00016832,             0.00016832,             0.00016832
                      3,                 1.1967,                 2.5401,                0.96135,                0.02035,                0.83269,                0.23187,                0.15212,                 1.2526,                 4.0474,                 0.8965,             0.00025485,             0.00025485,             0.00025485
                      4,                  1.046,                 1.7608,                0.92739,                0.02359,                0.74826,                0.29325,                 0.1964,                  1.262,                 3.9698,                 0.9003,              0.0003396,              0.0003396,              0.0003396
                      5,                0.96747,                 1.4533,                0.90399,                0.03919,                0.71792,                 0.3325,                0.20564,                  1.229,                 3.8662,                0.91153,             0.00042258,             0.00042258,             0.00042258
                      6,                0.91534,                  1.284,                0.89674,                0.03185,                0.56124,                0.27386,                 0.1956,                 1.2286,                 3.7229,                0.93767,             0.00050377,             0.00050377,             0.00050377
                      7,                0.93603,                   1.21,                0.89899,                0.02412,                  0.667,                0.46728,                0.32078,                 1.2363,                 3.5575,                0.95788,             0.00058317,             0.00058317,             0.00058317
                      8,                0.89179,                 1.1544,                 0.8926,                0.01939,                0.87389,                0.72345,                0.48968,                 1.2784,                 3.2673,                0.96073,              0.0006608,              0.0006608,              0.0006608
                      9,                 0.9045,                 1.0877,                0.88654,                 0.0126,                0.91479,                0.81839,                0.53053,                 1.3069,                  2.965,                0.97639,             0.00073664,             0.00073664,             0.00073664
                     10,                0.86001,                 1.0668,                0.88721,                      1,                0.11889,                0.94093,                0.62815,                 1.2359,                  2.482,                0.96508,              0.0008107,              0.0008107,              0.0008107
                     11,                0.84164,                 1.0099,                0.87898,                0.99012,                 0.4228,                0.94594,                0.60682,                 1.3015,                 2.1258,                0.98423,             0.00088298,             0.00088298,             0.00088298
                     12,                0.85831,                0.99085,                0.88356,                0.98312,                0.62759,                0.93656,                 0.6196,                  1.306,                 1.8818,                 1.0004,              0.0008911,              0.0008911,              0.0008911
                     13,                0.83832,                0.96221,                0.88051,                 0.9802,                0.73205,                0.93909,                0.59944,                 1.3486,                 1.7094,                 1.0071,              0.0008812,              0.0008812,              0.0008812
                     14,                0.84457,                0.95568,                0.88354,                0.92426,                0.81309,                0.89701,                0.55414,                   1.45,                 1.2725,                   1.03,              0.0008713,              0.0008713,              0.0008713
                     15,                0.81519,                0.86909,                 0.8844,                0.92786,                 0.8741,                0.92461,                0.60509,                 1.3419,                 1.0858,                 1.0046,              0.0008614,              0.0008614,              0.0008614
                     16,                0.81905,                0.85279,                0.86663,                0.88775,                0.85141,                0.89256,                0.57296,                 1.3268,                0.91821,                0.99924,              0.0008515,              0.0008515,              0.0008515
                     17,                0.81304,                0.85673,                0.87767,                0.92453,                0.89629,                0.93469,                0.62746,                 1.2012,                0.89445,                0.95127,              0.0008416,              0.0008416,              0.0008416
                     18,                0.78756,                0.79009,                 0.8712,                0.92565,                 0.8859,                0.92746,                0.61826,                 1.2608,                0.93878,                0.97862,              0.0008317,              0.0008317,              0.0008317
                     19,                0.78431,                0.77243,                0.86699,                0.93441,                0.89338,                0.92537,                0.60608,                 1.3075,                0.79694,                0.98962,              0.0008218,              0.0008218,              0.0008218
                     20,                0.78013,                0.75658,                0.87192,                0.82155,                0.72976,                0.75123,                 0.4885,                 1.4425,                 1.2474,                 1.0429,              0.0008119,              0.0008119,              0.0008119
                     21,                0.75747,                0.72794,                0.86183,                0.94833,                0.94908,                0.98145,                0.67027,                 1.1859,                0.62871,                0.96638,               0.000802,               0.000802,               0.000802
                     22,                0.77653,                0.72972,                0.86234,                0.90172,                 0.8623,                0.91515,                0.59959,                 1.3182,                0.74889,                0.99937,              0.0007921,              0.0007921,              0.0007921
                     23,                0.75628,                0.72533,                0.86331,                0.95177,                0.90103,                0.95205,                0.64693,                 1.2085,                0.72385,                0.96515,              0.0007822,              0.0007822,              0.0007822
                     24,                0.77488,                0.72183,                0.86787,                  0.966,                 0.9267,                0.96871,                0.66008,                 1.2087,                0.66682,                0.97067,              0.0007723,              0.0007723,              0.0007723
                     25,                 0.7822,                0.70159,                0.86042,                0.94513,                0.94858,                  0.974,                0.65616,                 1.1949,                0.67143,                0.96667,              0.0007624,              0.0007624,              0.0007624
                     26,                0.76701,                 0.6628,                0.85625,                0.96854,                 0.9431,                0.96644,                0.64359,                  1.234,                0.61346,                0.97654,              0.0007525,              0.0007525,              0.0007525
                     27,                0.76479,                0.66173,                0.85943,                0.94984,                0.92708,                 0.9617,                 0.6423,                  1.212,                0.64648,                0.96604,              0.0007426,              0.0007426,              0.0007426
                     28,                0.78327,                0.68033,                0.87162,                0.89511,                0.89861,                0.92832,                0.62782,                  1.259,                0.68808,                0.98533,              0.0007327,              0.0007327,              0.0007327
                     29,                0.73074,                0.62639,                0.85394,                0.95685,                0.86825,                0.91265,                0.57894,                 1.3755,                0.68699,                 1.0348,              0.0007228,              0.0007228,              0.0007228
                     30,                0.72472,                0.61961,                0.85077,                0.96427,                0.91557,                0.94759,                0.61746,                 1.2902,                0.72237,                 0.9997,              0.0007129,              0.0007129,              0.0007129
                     31,                0.72696,                0.60878,                0.85031,                0.92958,                0.92963,                0.96573,                0.65149,                 1.2339,                0.66687,                 0.9745,               0.000703,               0.000703,               0.000703
                     32,                 0.7835,                0.64215,                0.86464,                0.92815,                0.90492,                0.92813,                0.59199,                  1.375,                0.75184,                 1.0426,              0.0006931,              0.0006931,              0.0006931
                     33,                0.77524,                0.62322,                 0.8617,                0.96431,                0.88103,                0.94369,                0.62593,                 1.3095,                0.60503,                 1.0088,              0.0006832,              0.0006832,              0.0006832
                     34,                0.77293,                0.60756,                0.86444,                0.95268,                0.91862,                0.95486,                0.64716,                 1.2567,                0.64726,                 0.9841,              0.0006733,              0.0006733,              0.0006733
                     35,                0.74882,                0.60165,                0.85529,                0.96056,                0.91384,                0.95214,                 0.6362,                 1.2662,                0.60971,                0.98845,              0.0006634,              0.0006634,              0.0006634
                     36,                0.69933,                0.56955,                0.85554,                0.92956,                0.88093,                0.93776,                0.61916,                 1.2858,                0.64731,                 0.9947,              0.0006535,              0.0006535,              0.0006535
                     37,                0.74404,                0.59346,                0.86064,                0.94331,                0.89612,                 0.9559,                0.64066,                 1.2385,                0.68758,                0.98208,              0.0006436,              0.0006436,              0.0006436
                     38,                0.71501,                0.58284,                0.85013,                0.91918,                0.93334,                0.96905,                0.64824,                 1.2174,                0.64973,                0.97536,              0.0006337,              0.0006337,              0.0006337
                     39,                0.74011,                0.58121,                0.85845,                0.93567,                 0.9261,                0.96088,                0.62704,                 1.2784,                0.69672,                 0.9951,              0.0006238,              0.0006238,              0.0006238
                     40,                0.69694,                0.55542,                0.84859,                0.96958,                0.91328,                0.96856,                0.64994,                 1.2386,                0.61228,                0.98421,              0.0006139,              0.0006139,              0.0006139
                     41,                 0.7145,                0.55272,                  0.849,                0.95971,                0.95493,                 0.9734,                0.66271,                 1.2111,                0.59218,                0.97211,               0.000604,               0.000604,               0.000604
                     42,                0.70845,                 0.5382,                0.84879,                0.97004,                0.94637,                0.97062,                0.65999,                 1.1902,                0.62373,                0.96335,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.7183,                0.55893,                0.85459,                 0.9597,                0.90753,                0.95521,                0.65635,                 1.1847,                0.68187,                0.96459,              0.0005842,              0.0005842,              0.0005842
                     44,                0.69064,                 0.5425,                0.84975,                 0.9574,                0.93229,                0.96132,                0.66537,                 1.1618,                0.64075,                0.95249,              0.0005743,              0.0005743,              0.0005743
                     45,                0.70173,                0.52577,                0.85647,                0.97541,                0.94874,                 0.9829,                0.68139,                 1.2123,                0.58723,                0.96674,              0.0005644,              0.0005644,              0.0005644
                     46,                0.69081,                0.51961,                 0.8437,                0.96409,                0.94365,                0.97752,                0.66958,                 1.2236,                0.57325,                0.97192,              0.0005545,              0.0005545,              0.0005545
                     47,                0.68647,                0.52689,                0.84442,                0.97497,                0.93264,                0.97687,                0.66872,                 1.2139,                 0.5765,                0.97416,              0.0005446,              0.0005446,              0.0005446
                     48,                0.70046,                0.50778,                0.84585,                0.96386,                0.95288,                0.97708,                0.66297,                 1.2314,                0.58987,                0.97236,              0.0005347,              0.0005347,              0.0005347
                     49,                0.70938,                0.50769,                0.85222,                 0.9642,                0.93386,                0.96747,                0.67639,                 1.1904,                0.58323,                0.95367,              0.0005248,              0.0005248,              0.0005248
                     50,                0.71579,                0.52294,                0.85327,                0.94756,                0.93615,                0.96384,                0.64678,                  1.221,                0.58051,                0.97475,              0.0005149,              0.0005149,              0.0005149
                     51,                0.69834,                0.51778,                0.85306,                0.97331,                 0.9449,                0.97694,                0.67094,                 1.1906,                 0.5423,                0.96094,               0.000505,               0.000505,               0.000505
                     52,                0.68602,                0.50641,                0.84829,                0.96398,                0.96709,                0.98347,                0.67734,                 1.1904,                0.55251,                0.96171,              0.0004951,              0.0004951,              0.0004951
                     53,                0.70889,                0.51179,                0.84577,                0.96898,                0.93354,                0.97716,                0.66315,                 1.2347,                0.55795,                0.97887,              0.0004852,              0.0004852,              0.0004852
                     54,                0.65569,                0.47657,                0.84365,                0.95776,                0.95432,                0.97274,                0.66377,                 1.1897,                0.54765,                 0.9687,              0.0004753,              0.0004753,              0.0004753
                     55,                0.67315,                 0.4886,                0.84309,                0.96823,                0.95409,                0.97973,                 0.6739,                 1.2183,                0.54572,                0.97768,              0.0004654,              0.0004654,              0.0004654
                     56,                0.67314,                 0.4875,                0.84484,                0.96094,                 0.9457,                0.97175,                0.67146,                 1.2111,                0.55138,                0.97765,              0.0004555,              0.0004555,              0.0004555
                     57,                0.66705,                0.48401,                0.84207,                0.97112,                0.95296,                 0.9796,                0.67803,                  1.194,                 0.5531,                0.96938,              0.0004456,              0.0004456,              0.0004456
                     58,                0.67361,                0.48488,                0.84686,                0.96736,                0.96081,                0.98289,                0.67153,                 1.2176,                0.56125,                0.97179,              0.0004357,              0.0004357,              0.0004357
                     59,                0.66304,                0.47102,                0.83888,                 0.9656,                0.94826,                0.97762,                0.67926,                 1.1972,                0.52712,                0.96422,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.6642,                0.48173,                 0.8492,                 0.9622,                0.94159,                0.96862,                0.67148,                  1.201,                0.54001,                0.96523,              0.0004159,              0.0004159,              0.0004159
                     61,                0.65675,                0.46065,                0.84388,                0.97351,                0.95813,                 0.9804,                0.67507,                 1.2272,                0.51474,                0.97078,               0.000406,               0.000406,               0.000406
                     62,                0.66566,                0.48988,                0.84243,                0.95826,                0.96029,                 0.9802,                0.67759,                 1.1965,                0.54864,                0.96612,              0.0003961,              0.0003961,              0.0003961
                     63,                0.66672,                0.46566,                  0.844,                0.98301,                0.93082,                0.96674,                0.66164,                  1.204,                0.54602,                 0.9675,              0.0003862,              0.0003862,              0.0003862
                     64,                0.65643,                0.46105,                0.84103,                0.96431,                0.97174,                0.98538,                0.67764,                 1.1845,                0.50563,                0.95977,              0.0003763,              0.0003763,              0.0003763
                     65,                0.66213,                0.45797,                0.84195,                 0.9506,                0.96572,                0.98104,                0.67174,                 1.2116,                0.53988,                0.96561,              0.0003664,              0.0003664,              0.0003664
                     66,                0.66739,                0.45893,                0.84279,                0.96753,                0.95372,                0.98085,                0.67508,                 1.1789,                0.51456,                0.95783,              0.0003565,              0.0003565,              0.0003565
                     67,                0.63882,                0.45418,                0.83872,                0.97513,                0.95626,                0.98215,                 0.6754,                 1.1973,                0.52994,                0.96583,              0.0003466,              0.0003466,              0.0003466
                     68,                0.63254,                 0.4495,                0.83571,                0.95472,                0.95365,                0.97961,                0.68094,                 1.1914,                 0.5381,                0.96334,              0.0003367,              0.0003367,              0.0003367
                     69,                0.64586,                0.45607,                0.84127,                0.94654,                 0.9651,                0.98189,                0.68141,                 1.2051,                0.52811,                 0.9658,              0.0003268,              0.0003268,              0.0003268
                     70,                0.64051,                0.44485,                0.83657,                0.96385,                0.95789,                0.97653,                0.67572,                 1.2073,                0.53061,                0.96821,              0.0003169,              0.0003169,              0.0003169
                     71,                0.62322,                0.44877,                0.83666,                0.96832,                0.93987,                0.96755,                0.67654,                 1.1801,                0.53064,                0.96025,               0.000307,               0.000307,               0.000307
                     72,                0.64283,                0.45228,                0.84051,                0.97681,                0.95782,                0.98176,                0.68309,                 1.1779,                0.51253,                0.95867,              0.0002971,              0.0002971,              0.0002971
